MIT Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,2139,V0-001-000101749-5
NBT Bank Stadium (formerly Alliance Bank Stadium),One Tex Simone Drive,Syracuse,NY,13208,V0-001-000102506-9
Gillette Stadium,1 Patriot Place,Foxboro,MA,2035,V0-001-000102516-6
Foxwoods Resort Casino,350 Trolley Line Boulevard,Ledyard,CT,6339,V0-001-000102535-1
House of Blues - Boston,15 Lansdowne Street,Boston,MA,2215,V0-001-000102555-5
Calvin Theatre,19 King Street,Northampton,MA,1060,V0-001-000104314-4
Citi Performing Arts Center Wang Theatre,270 Tremont Street,Boston,MA,2116,V0-001-000104717-7
"New York, New York, United States","New York, New York, United States",New York,NY,,V0-001-000104893-6
Sheas Performing Arts Center,646 Main Street,Buffalo,NY,14202,V0-001-000105047-2
Palace Theatre,19 Clinton Avenue,Albany,NY,12207,V0-001-000105107-3
Cross Insurance Arena (Formerly Cumberland County Civic Center),One Civic Center Square,Portland,ME,4101,V0-001-000105185-1
DCU Center (FKA Worcester Centrum),50 Foster Street,Worcester,MA,1608,V0-001-000105275-3
The Charles Hotel,1 Bennett Street,Cambridge,MA,2138,V0-001-000109028-5
Sun National Bank Center,81 Hamilton Ave,Trenton,NJ,,V0-001-000109132-7
Bears Den At Seneca Niagara Casino,310 Fourth Street,Niagara Falls,NY,14303,V0-001-000111346-1
Boston Opera House,539 Washington Street,Boston,MA,2108,V0-001-000111662-6
Buffalo Niagara Convention Center,153 Franklin St,Buffalo,NY,14202,V0-001-000112084-1
Orpheum Theater,126 Second Avenue,New York,NY,10003,V0-001-000112307-9
Tsongas Center at UMass Lowell,300 Martin Luther King Jr Way,Lowell,MA,1852,V0-001-000112602-1
Downtown Providence,Various venues throughout downtown Providence,Providence,RI,2903,V0-001-000114127-9
Portsmouth Music Hall,28 Chestnut Street,Portsmouth,NH,3801,V0-001-000116546-4
Providence Performing Arts Center,220 Weybosset Street,Providence,RI,2903,V0-001-000117051-8
Mullins Center,University of Massachusetts,Amherst,MA,1003,V0-001-000117103-0
Bardavon Opera House,35 Market Street,Poughkeepsie,NY,,V0-001-000140347-0
The Stanley,259 Genesee Street,Utica,NY,13501,V0-001-000144948-1
Charles Playhouse,74 Warrenton Street,Boston,MA,2116,V0-001-000148936-4
Verizon Wireless Arena,555 Elm Street,Manchester,NH,3101,V0-001-000151410-1
MassMutual Center (formerly Springfield Civic Center),"1277 Main St,",Springfield,MA,1103,V0-001-000151553-5
Ralph Wilson Stadium,1 Bills Drive,Orchard Park,NY,14127,V0-001-000153156-0
The Bushnell Center for Performing Arts,166 Capitol Ave,Hartford,CT,6106,V0-001-000153355-9
Rochester Auditorium Theatre,885 E Main St.,Rochester,NY,14605,V0-001-000153361-0
Somerville Theatre,55 Davis Square,Somerville,MA,2144,V0-001-000153369-2
Riviera Theatre,67 Webster St,North Tonawanda,NY,14120,V0-001-000153689-3
Harrah's Atlantic City,777 Harrah South Boulevard,Atlantic City,NJ,8401,V0-001-000154349-5
Palace Theatre Stamford,61 Atlantic Street,Stamford,CT,6901,V0-001-000154921-3
Club Passim,47 Palmer Street,Cambridge,MA,2138,V0-001-000155632-9
The Narrows Center for the Arts,16 Anawan Street,Fall River,MA,2721,V0-001-000155920-1
University of Rochester,240 Wallis Hall,Rochester,NY,14627,V0-001-000156663-6
Paramount Theatre - Asbury Park,1300 Ocean Avenue,Asbury Park,NJ,7712,V0-001-000156782-0
Palace Theater - Waterbury,100 East Main Street,Waterbury,CT,6702,V0-001-000157291-0
Niagara Falls Conference Center (End Stage),Old Falls Boulevard,Niagara Falls,NY,,V0-001-000160274-3
Museum of Modern Art,11 West 53 Street,New York,NY,10019,V0-001-000160557-3
Lehman College of the City University of New York,250 Bedford Park Boulevard West,Bronx,NY,10468,V0-001-000160928-7
Brown University,45 Prospect Street,Providence,RI,2912,V0-001-000160954-2
Crossgates Mall Apple Store,1 Crossgates Mall Road,Albany,NY,12203,V0-001-000162011-0
Higher Ground,1214 Williston Rd,South Burlington,VT,5403,V0-001-000162060-6
Symphony Space,2537 Broadway at 95th Street,New York,NY,10025,V0-001-000162530-0
Boston University,One Silber Way,Boston,MA,2215,V0-001-000164946-1
Seneca Allegany Casino and Events Center,777 Seneca Allegany Blvd,Salamanca,NY,14779,V0-001-000166314-2
Rochester Public Market,280 N. Union Street,Rochester,NY,14609,V0-001-000167549-3
Toad's Place,300 York Street,New Haven,CT,6511,V0-001-000167791-4
Webster Theatre,39-41 Webster Street,Hartford,CT,6114,V0-001-000168172-2
Darien Lake Performing Arts Center,"9993 Alleghany Rd, Darien Center, NY",Darien Center,NY,14040,V0-001-000168978-8
The Snapple Theater Center - Anne L. Bernstein Theater,210 W. 50th Street,New York,NY,10019,V0-001-000170565-1
Hampton Beach Casino Ballroom,169 OCEAN BOULEVARD,Hampton,NH,3842,V0-001-000170733-0
Jorgensen Center for the Performing Arts,2100 Hillside Road,Storrs Mansfield,CT,6268,V0-001-000176404-3
Bug Jar,219 Monroe Avenue,Rochester,NY,14607,V0-001-000176415-9
Harro East Ballroom,155 N Chestnut Street,Rochester,NY,14607,V0-001-000183060-1
Fort Adams State Park,Harrison Avenue,Newport,RI,2840,V0-001-000186118-8
AS220,115 Empire Street,Providence,RI,2903,V0-001-000187263-4
Dinosaur Bar-B-Que (Rochester),99 Court Street,Rochester,NY,14604,V0-001-000200463-8
Hard Rock Cafe - Boston,24 Clinton Street,Boston,MA,2109,V0-001-000200486-9
Nick's Comedy Stop,100 Warrenton Street,Boston,MA,2116,V0-001-000201227-5
Landmark Theatre,362 South Salina Street,Syracuse,NY,13202,V0-001-000202961-9
The Haunt,702 Willow Avenue,Ithaca,NY,14850,V0-001-000202964-6
The Stress Factory,90 Church Street,New Brunswick,NJ,8901,V0-001-000203116-4
New England Aquarium,Central Wharf,Boston,MA,2110,V0-001-000205497-0
Mulroy Civic Center Theater,411 Montgomery Street,Syracuse,NY,13202,V0-001-000208523-5
Westcott Theater,524 Westcott Street,Syracuse,NY,13210,V0-001-000208548-4
Beacon Theatre,2124 Broadway (at 74th),New York,NY,10023,V0-001-000209001-5
Hangar Theatre,"Route 89 North, in Cass Park, the Treman Marina entrance",Ithaca,NY,14850,V0-001-000211410-2
UB Center For the Arts,103 Center for the Arts,Buffalo,NY,14260,V0-001-000211731-2
Borgata Hotel Casino & Spa,One Borgata Way,Atlantic City,NJ,8401,V0-001-000218013-2
Club Metronome,Main St.,Burlington,VT,5401,V0-001-000219726-6
University Of Vermont,85 S. Prospect Street,Burlington,VT,5401,V0-001-000219793-8
XL Center,1 Civic Center Plz,Hartford,CT,6103,V0-001-000223909-4
Nietzche's,248 Allen St,Buffalo,NY,14201,V0-001-000224053-1
The Metropolitan Museum of Art,1000 Fifth Avenue,New York,NY,10028,V0-001-000228997-4
Bryant Park,40th Street at Sixth Avenue,New York,NY,10036,V0-001-000229305-6
Nikon at Jones Beach Theater,1000 Ocean Parkway,Wantagh,NY,11793,V0-001-000229306-5
Blue Note,131 W Third Street,New York,NY,10012,V0-001-000229386-1
Brooklyn Museum,200 Eastern Parkway,Brooklyn,NY,11238,V0-001-000229449-9
Gershwin Theatre,222 W 51st Street,New York,NY,10019,V0-001-000229551-3
The Met,1005 Main Street,Pawtucket,RI,2860,V0-001-000231684-3
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,2467,V0-001-000232878-7
Washington Park,Corner of Madison and Willett,Albany,NY,12210,V0-001-000232982-9
Palace Theatre,2384 James Street,Syracuse,NY,13206,V0-001-000236397-5
Central Terminal,495 Paderewski Drive,Buffalo,NY,14202,V0-001-000236398-4
Buffalo State Sports Arena,1300 Elmwood Ave,Buffalo,NY,14222,V0-001-000236533-5
Toyota Presents the Oakdale Theatre,95 South Turnpike Road,Wallingford,CT,6492,V0-001-000238346-5
Kleinhan's Music Hall,3 Symphony Circle,Buffalo,NY,,V0-001-000238352-6
Rochester Riverside Convention Center,123 East Main St.,Rochester,NY,,V0-001-000238395-1
Boston Convention & Exhibition Center,415 Summer Street,Boston,MA,2210,V0-001-000241767-4
Caroline's on Broadway,1626 Broadway,New York,NY,10036,V0-001-000243266-4
Frontier Field,1 Morrie Silver Way,Rochester,NY,14608,V0-001-000252670-5
Carrier Dome,900 Irving Avenue,Syracuse,NY,13244,V0-001-000256326-5
Montage Music Hall,50 Chestnut St.,Rochester,NY,14604,V0-001-000257277-7
Syracuse University,900 S Crouse Avenue,Syracuse,NY,13210,V0-001-000268768-0
Twin River Casino,100 Twin River Road,Lincoln,RI,2865,V0-001-000268846-7
Blue Ocean Music Hall,4 Ocean Front North,Salisbury,MA,1952,V0-001-000269177-1
Geva Theatre,75 Woodbury Boulevard,Rochester,NY,14607,V0-001-000270075-0
Syracuse Stage,820 East Genesee Street (at Irving Ave.),Syracuse,NY,13210,V0-001-000270120-9
Lowell Memorial Auditorium,50 East Merrimack Street,Lowell,MA,1852,V0-001-000270148-5
Berklee Performance Center,136 Massachusetts Ave,Boston,MA,2128,V0-001-000271430-0
Water Street Music Hall,204 North Water Street,Rochester,NY,14604,V0-001-000278969-6
