Event id;Event start date;Event stop date;Venue name;Event name;Venue address;Venue city;Venue state;Postal code;Latitude;Longitude;Cancelled
E0-001-092462740-7;2018-04-25 18:00:00;;Wellmont Theatre;Eat Drink New Jersey;5 Seymour Street;Montclair;NJ;07042;40.8126460;-74.2167000;
E0-001-090448819-2;2018-03-31 19:30:00;;B.B. King Blues Club and Grill;Southside Johnny & the Asbury Jukes;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-090248676-5;2018-03-02 20:00:00;;Music Hall of Williamsburg;Tiga (Live);66 N Sixth Street;Brooklyn;NY;11211;40.7192879;-73.9617084;
E0-001-089859608-6;2018-02-10 20:00:00;;The Tralf;The Felice Brothers;622 Main St;Buffalo;NY;14202;42.8910934;-78.8732027;
E0-001-089082871-2;2017-11-16 00:00:00;2017-11-19 00:00:00;Boston Convention & Exhibition Center;American Schools of Oriental Research;415 Summer Street;Boston;MA;02210;42.3471335;-71.0440874;
E0-001-086329448-7;2017-09-02 20:00:00;;Mid-Hudson Civic Center - Mair Hall;10-4 Comedy Tour;14 Civic Center Plaza;Poughkeepsie;NY;;41.7049639;-73.9293560;
E0-001-092132075-2@2017080819;2017-08-08 19:30:00;;Boston Opera House;Finding Neverland Boston;539 Washington Street;Boston;MA;02108;42.3539525;-71.0622131;
E0-001-091824905-9;2017-07-08 19:00:00;;House of Blues - Boston;Workshop;15 Lansdowne Street;Boston;MA;02215;42.3471841;-71.0957036;
E0-001-092829744-4@2017061319;2017-06-13 19:30:00;;Shubert Theater;Motown - The Musical;247 College Street;New Haven;CT;06510;41.3065907;-72.9291377;
E0-001-093188301-0@2017061113;2017-06-11 13:00:00;;Boston Opera House;Wicked;539 Washington Street;Boston;MA;02108;42.3539525;-71.0622131;
E0-001-089932436-1;2017-06-10 22:00:00;;Wilbur Theatre;Kevin Smith;246 Tremont Street;Boston;MA;02116;42.3507536;-71.0647817;
E0-001-092132067-3@2017060719;2017-06-07 19:30:00;;Boston Opera House;Wicked Boston;539 Washington Street;Boston;MA;02108;42.3539525;-71.0622131;
E0-001-092360553-2;2017-06-07 00:00:00;2017-07-23 00:00:00;Boston Opera House;Wicked;539 Washington Street;Boston;MA;02108;42.3539525;-71.0622131;
E0-001-092751211-5;2017-06-02 03:00:00;;New Jersey Performing Arts Center;Mercer Final Performance;36 Park Place;Newark;NJ;;40.7394910;-74.1681035;
E0-001-093207801-3@2017053019;2017-05-30 19:30:00;;Boston Opera House;Mamma Mia!;539 Washington Street;Boston;MA;02108;42.3539525;-71.0622131;
E0-001-092751208-1;2017-05-26 19:00:00;;New Jersey Performing Arts Center;Hispanic Youth Showcase;36 Park Place;Newark;NJ;;40.7394910;-74.1681035;
E0-001-093074309-8;2017-05-20 12:30:00;;Portsmouth Music Hall;Der Rosenkavalier (R. Strauss);28 Chestnut Street;Portsmouth;NH;03801;43.0757507;-70.7595661;
E0-001-092118645-9@2017051719;2017-05-17 19:30:00;;Sheas Performing Arts Center;Wicked;646 Main Street;Buffalo;NY;14202;42.8916919;-78.8732989;
E0-001-078924897-7;2017-05-15 00:00:00;2017-05-18 00:00:00;Harrah's Atlantic City;Eastern Coatings Show;777 Harrah South Boulevard;Atlantic City;NJ;08401;39.38420633796893;-74.4283139970978;
