Week,Year,State,Prevalence
15,2016,AK,Regional
15,2016,OR,Local Activity
15,2016,WA,Local Activity
15,2016,ID,Regional
15,2016,GU,Regional
15,2016,HI,Local Activity
15,2016,CA,Regional
15,2016,NV,Regional
15,2016,AZ,Regional
15,2016,UT,Regional
15,2016,CO,Widespread
15,2016,WY,Local Activity
15,2016,MT,Regional
15,2016,SD,Regional
15,2016,ND,Regional
15,2016,KS,Regional
15,2016,NE,Widespread
15,2016,MO,Regional
15,2016,IA,Regional
15,2016,NM,Regional
15,2016,TX,Local Activity
15,2016,OK,Regional
15,2016,LA,Local Activity
15,2016,AR,Regional
15,2016,MN,Regional
15,2016,WI,Widespread
15,2016,MI,Regional
15,2016,IL,Local Activity
15,2016,IN,Sporadic
15,2016,OH,Widespread
15,2016,MS,Sporadic
15,2016,AL,Local Activity
15,2016,TN,Local Activity
15,2016,KY,Widespread
15,2016,FL,Sporadic
15,2016,GA,Sporadic
15,2016,SC,Regional
15,2016,NC,Local Activity
15,2016,WV,Local Activity
15,2016,VA,Widespread
15,2016,DC,Local Activity
15,2016,MD,Local Activity
15,2016,DE,Widespread
15,2016,PA,Widespread
15,2016,VI,Sporadic
15,2016,PR,Widespread
15,2016,NJ,Regional
15,2016,NY,Widespread
15,2016,CT,Widespread
15,2016,RI,Local Activity
15,2016,MA,Widespread
15,2016,VT,Widespread
15,2016,NH,Widespread
15,2016,ME,Widespread
14,2016,AK,Widespread
14,2016,OR,Regional
14,2016,WA,Regional
14,2016,ID,Regional
14,2016,GU,Regional
14,2016,HI,Local Activity
14,2016,CA,Widespread
14,2016,NV,Regional
14,2016,AZ,Widespread
14,2016,UT,Regional
14,2016,CO,Widespread
14,2016,WY,Regional
14,2016,MT,Regional
14,2016,SD,Regional
14,2016,ND,Regional
14,2016,KS,Regional
14,2016,NE,Widespread
14,2016,MO,Regional
14,2016,IA,Widespread
14,2016,NM,Regional
14,2016,TX,Local Activity
14,2016,OK,Regional
14,2016,LA,Local Activity
14,2016,AR,Regional
14,2016,MN,Regional
14,2016,WI,Widespread
14,2016,MI,Regional
14,2016,IL,Local Activity
14,2016,IN,Sporadic
14,2016,OH,Widespread
14,2016,MS,Sporadic
14,2016,AL,Local Activity
14,2016,TN,Local Activity
14,2016,KY,Widespread
14,2016,FL,Sporadic
14,2016,GA,Local Activity
14,2016,SC,Local Activity
14,2016,NC,Local Activity
14,2016,WV,Local Activity
14,2016,VA,Widespread
14,2016,DC,Local Activity
14,2016,MD,Regional
14,2016,DE,Widespread
14,2016,PA,Widespread
14,2016,VI,Sporadic
14,2016,PR,Widespread
14,2016,NJ,Regional
14,2016,NY,Widespread
14,2016,CT,Widespread
14,2016,RI,Regional
14,2016,MA,Widespread
14,2016,VT,Widespread
14,2016,NH,Widespread
14,2016,ME,Widespread
13,2016,AK,Widespread
13,2016,OR,Local Activity
13,2016,WA,Regional
13,2016,ID,Regional
13,2016,GU,Regional
13,2016,HI,Local Activity
13,2016,CA,Widespread
13,2016,NV,Regional
13,2016,AZ,Widespread
13,2016,UT,Regional
13,2016,CO,Widespread
13,2016,WY,Widespread
13,2016,MT,Regional
13,2016,SD,Regional
13,2016,ND,Widespread
13,2016,KS,Regional
13,2016,NE,Widespread
13,2016,MO,Widespread
13,2016,IA,Widespread
13,2016,NM,Regional
13,2016,TX,Regional
13,2016,OK,Regional
13,2016,LA,Regional
13,2016,AR,Regional
13,2016,MN,Regional
13,2016,WI,Widespread
13,2016,MI,Widespread
13,2016,IL,Local Activity
13,2016,IN,Local Activity
13,2016,OH,Widespread
13,2016,MS,Sporadic
13,2016,AL,Sporadic
13,2016,TN,Regional
13,2016,KY,Widespread
13,2016,FL,Regional
13,2016,GA,Regional
13,2016,SC,Regional
13,2016,NC,Widespread
13,2016,WV,Sporadic
13,2016,VA,Widespread
13,2016,DC,Local Activity
13,2016,MD,Widespread
13,2016,DE,Widespread
13,2016,PA,Widespread
13,2016,VI,No Report
13,2016,PR,Widespread
13,2016,NJ,Widespread
13,2016,NY,Widespread
13,2016,CT,Widespread
13,2016,RI,Regional
13,2016,MA,Widespread
13,2016,VT,Widespread
13,2016,NH,Widespread
13,2016,ME,Widespread
12,2016,AK,Widespread
12,2016,OR,Regional
12,2016,WA,Regional
12,2016,ID,Widespread
12,2016,GU,Widespread
12,2016,HI,Regional
12,2016,CA,Widespread
12,2016,NV,Widespread
12,2016,AZ,Widespread
12,2016,UT,Regional
12,2016,CO,Widespread
12,2016,WY,Widespread
12,2016,MT,Widespread
12,2016,SD,Regional
12,2016,ND,Widespread
12,2016,KS,Regional
12,2016,NE,Widespread
12,2016,MO,Widespread
12,2016,IA,Widespread
12,2016,NM,Regional
12,2016,TX,Regional
12,2016,OK,Regional
12,2016,LA,Regional
12,2016,AR,Regional
12,2016,MN,Regional
12,2016,WI,Widespread
12,2016,MI,Widespread
12,2016,IL,Regional
12,2016,IN,Regional
12,2016,OH,Widespread
12,2016,MS,Regional
12,2016,AL,Local Activity
12,2016,TN,Local Activity
12,2016,KY,Widespread
12,2016,FL,Regional
12,2016,GA,Regional
12,2016,SC,Regional
12,2016,NC,Widespread
12,2016,WV,Sporadic
12,2016,VA,Widespread
12,2016,DC,Local Activity
12,2016,MD,Widespread
12,2016,DE,Widespread
12,2016,PA,Widespread
12,2016,VI,No Report
12,2016,PR,Widespread
12,2016,NJ,Widespread
12,2016,NY,Widespread
12,2016,CT,Widespread
12,2016,RI,Widespread
12,2016,MA,Widespread
12,2016,VT,Widespread
12,2016,NH,Widespread
12,2016,ME,Widespread
11,2016,AK,Widespread
11,2016,OR,Widespread
11,2016,WA,Regional
11,2016,ID,Widespread
11,2016,GU,Regional
11,2016,HI,Local Activity
11,2016,CA,Widespread
11,2016,NV,Widespread
11,2016,AZ,Widespread
11,2016,UT,Regional
11,2016,CO,Widespread
11,2016,WY,Widespread
11,2016,MT,Widespread
11,2016,SD,Widespread
11,2016,ND,Widespread
11,2016,KS,Widespread
11,2016,NE,Widespread
11,2016,MO,Widespread
11,2016,IA,Widespread
11,2016,NM,Widespread
11,2016,TX,Regional
11,2016,OK,Widespread
11,2016,LA,Regional
11,2016,AR,Widespread
11,2016,MN,Widespread
11,2016,WI,Widespread
11,2016,MI,Widespread
11,2016,IL,Regional
11,2016,IN,Widespread
11,2016,OH,Widespread
11,2016,MS,Regional
11,2016,AL,Regional
11,2016,TN,Regional
11,2016,KY,Widespread
11,2016,FL,Widespread
11,2016,GA,Regional
11,2016,SC,Widespread
11,2016,NC,Widespread
11,2016,WV,Regional
11,2016,VA,Widespread
11,2016,DC,Local Activity
11,2016,MD,Widespread
11,2016,DE,Widespread
11,2016,PA,Widespread
11,2016,VI,No Report
11,2016,PR,Widespread
11,2016,NJ,Widespread
11,2016,NY,Widespread
11,2016,CT,Widespread
11,2016,RI,Widespread
11,2016,MA,Widespread
11,2016,VT,Widespread
11,2016,NH,Widespread
11,2016,ME,Widespread
10,2016,AK,Widespread
10,2016,OR,Widespread
10,2016,WA,Regional
10,2016,ID,Widespread
10,2016,GU,Regional
10,2016,HI,Regional
10,2016,CA,Widespread
10,2016,NV,Widespread
10,2016,AZ,Widespread
10,2016,UT,Regional
10,2016,CO,Widespread
10,2016,WY,Widespread
10,2016,MT,Widespread
10,2016,SD,Widespread
10,2016,ND,Widespread
10,2016,KS,Widespread
10,2016,NE,Widespread
10,2016,MO,Widespread
10,2016,IA,Widespread
10,2016,NM,Widespread
10,2016,TX,Regional
10,2016,OK,Widespread
10,2016,LA,Regional
10,2016,AR,Widespread
10,2016,MN,Widespread
10,2016,WI,Widespread
10,2016,MI,Widespread
10,2016,IL,Regional
10,2016,IN,Widespread
10,2016,OH,Widespread
10,2016,MS,Regional
10,2016,AL,Regional
10,2016,TN,Regional
10,2016,KY,Widespread
10,2016,FL,Widespread
10,2016,GA,Widespread
10,2016,SC,Widespread
10,2016,NC,Widespread
10,2016,WV,Regional
10,2016,VA,Widespread
10,2016,DC,Local Activity
10,2016,MD,Widespread
10,2016,DE,Widespread
10,2016,PA,Widespread
10,2016,VI,No Report
10,2016,PR,Widespread
10,2016,NJ,Widespread
10,2016,NY,Widespread
10,2016,CT,Widespread
10,2016,RI,Widespread
10,2016,MA,Widespread
10,2016,VT,Widespread
10,2016,NH,Widespread
10,2016,ME,Widespread
9,2016,AK,Widespread
9,2016,OR,Widespread
9,2016,WA,Regional
9,2016,ID,Widespread
9,2016,GU,Regional
9,2016,HI,Regional
9,2016,CA,Widespread
9,2016,NV,Widespread
9,2016,AZ,Widespread
9,2016,UT,Widespread
9,2016,CO,Regional
9,2016,WY,Widespread
9,2016,MT,Widespread
9,2016,SD,Widespread
9,2016,ND,Widespread
9,2016,KS,Widespread
9,2016,NE,Widespread
9,2016,MO,Regional
9,2016,IA,Widespread
9,2016,NM,Widespread
9,2016,TX,Widespread
