District,Type,Latitude,Longitude,Subtype,Date,Time,Misdemeanor/Felony,Week
Bronx,Petit Larceny,40.8120800,-73.8868097,By Credit Card U..,03/04/16,20:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8151589,-73.9177227,From Auto,03/05/16,11:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8165575,-73.9195467,From Open Areas,03/06/16,23:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8174115,-73.9227487,From Store Shopl..,03/03/16,15:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8187543,-73.9087523,From Auto,03/05/16,08:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8188599,-73.8949201,From Auto,03/05/16,13:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8188901,-73.8960801,From Auto,03/01/16,02:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8193702,-73.8930700,From Store Shopl..,03/03/16,18:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8196899,-73.9016032,From Store Shopl..,03/02/16,16:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8201353,-73.9130619,From Building Un..,02/29/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8202048,-73.9215111,From Building Un..,03/01/16,20:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8211800,-73.8812602,By False Promise,03/04/16,18:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8238528,-73.8988773,By Credit Card U..,03/03/16,09:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8290178,-73.9155867,From Building Un..,03/05/16,00:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8326498,-73.8636797,From Open Areas,03/03/16,17:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8335900,-73.9149702,From Building Un..,03/03/16,08:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8340198,-73.8534001,From Building Un..,03/05/16,17:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8373721,-73.8877647,From Open Areas,03/05/16,17:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8411799,-73.8460898,Of Vehicle Acces..,02/29/16,22:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8421898,-73.8941000,From Building Un..,03/03/16,01:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8444100,-73.8355701,From Auto,03/06/16,09:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8457652,-73.8817655,From Auto,03/01/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8459793,-73.8922820,From Store Shopl..,02/29/16,11:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8462399,-73.9181802,From Store Shopl..,03/04/16,23:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8475100,-73.8536402,From Auto,03/03/16,22:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8476199,-73.8877901,From Store Shopl..,03/01/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8477299,-73.8570801,From Building Un..,03/03/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8513884,-73.9028717,By False Promise,03/01/16,08:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8600065,-73.8254190,From Auto,03/03/16,14:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8618313,-73.8928353,By False Promise,03/06/16,10:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8623003,-73.8984002,From Building Un..,03/03/16,16:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8624698,-73.8973304,From Building Un..,03/06/16,20:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8667199,-73.8979798,From Building Un..,03/02/16,20:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8679330,-73.8692465,From Building Un..,03/03/16,22:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8695229,-73.8899026,From Building Un..,03/04/16,08:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8746102,-73.9047005,From Building Un..,03/04/16,16:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8790004,-73.8776922,From Auto,03/06/16,20:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8800599,-73.8681201,From Open Areas,02/29/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8804803,-73.8859400,From Building Un..,03/02/16,07:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8827044,-73.8812401,From Store Shopl..,02/29/16,21:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8850803,-73.8519303,From Building Un..,02/29/16,17:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8854800,-73.9090298,From Store Shopl..,02/29/16,11:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8984800,-73.8543503,From Store Shopl..,03/01/16,19:00,Misdemeanor,Week of 02/29/16 - 03/06/16
Bronx,Petit Larceny,40.8100603,-73.9251398,By False Promise,03/03/16,22:00,Misdemeanor,Week of 02/29/16 - 03/06/16
