Month,Year,State,Rate
03,2016,Alabama,   6.2
03,2016,Alaska,   6.6
03,2016,Arizona,   5.4
03,2016,Arkansas,   4.0
03,2016,California,   5.4
03,2016,Colorado,   2.9
03,2016,Connecticut,   5.7
03,2016,Delaware,   4.4
03,2016,District of Columbia,   6.5
03,2016,Florida,   4.9
03,2016,Georgia,   5.5
03,2016,Hawaii,   3.1
03,2016,Idaho,   3.8
03,2016,Illinois,   6.5
03,2016,Indiana,   5.0
03,2016,Iowa,   3.8
03,2016,Kansas,   3.9
03,2016,Kentucky,   5.6
03,2016,Louisiana,   6.1
03,2016,Maine,   3.4
03,2016,Maryland,   4.7
03,2016,Massachusetts,   4.4
03,2016,Michigan,   4.8
03,2016,Minnesota,   3.7
03,2016,Mississippi,   6.3
03,2016,Missouri,   4.2
03,2016,Montana,   4.3
03,2016,Nebraska,   3.0
03,2016,Nevada,   5.8
03,2016,New Hampshire,   2.6
03,2016,New Jersey,   4.4
03,2016,New Mexico,   6.2
03,2016,New York,   4.8
03,2016,North Carolina,   5.5
03,2016,North Dakota,   3.1
03,2016,Ohio,   5.1
03,2016,Oklahoma,   4.4
03,2016,Oregon,   4.5
03,2016,Pennsylvania,   4.9
03,2016,Rhode Island,   5.4
03,2016,South Carolina,   5.7
03,2016,South Dakota,   2.5
03,2016,Tennessee,   4.5
03,2016,Texas,   4.3
03,2016,Utah,   3.5
03,2016,Vermont,   3.3
03,2016,Virginia,   4.0
03,2016,Washington,   5.8
03,2016,West Virginia,   6.5
03,2016,Wisconsin,   4.5
03,2016,Wyoming,   5.2
